artist,medium_normalized,count
"Wharncliffe, Lady",Graphite,51
"Wharncliffe, Lady",Etching,1
"Wharncliffe, Lady",Ink,1
"Wharncliffe, Lady",Chalk,1
"Wharncliffe, Lady",Watercolor,1
"Rigby, Elizabeth",Graphite and Watercolor,60
"Rego, Paula",Etching,21
"Rego, Paula",Print,2
"Rego, Paula",Acrylic Paint,2
"Rego, Paula",Mixed Medium,1
"Rego, Paula",Graphite,5
"Rego, Paula",Pastel,2
"Rego, Paula",Ink,13
"Lim, Kim",Print,37
"Lim, Kim",Etching,19
"Lim, Kim",Marble,1
"Lim, Kim",Wood,2
"Horn, Rebecca",Ink,3
"Horn, Rebecca",Film,7
"Horn, Rebecca",Graphite,8
"Hepworth, Dame Barbara",Metal,32
"Hepworth, Dame Barbara",Wood,14
"Hepworth, Dame Barbara",Mixed Medium,3
"Hepworth, Dame Barbara",Marble,8
"Hepworth, Dame Barbara",Plaster,2
"Hepworth, Dame Barbara",Print,40
"Hepworth, Dame Barbara",Oil Paint,11
"Hepworth, Dame Barbara",Stone,13
"Frink, Dame Elisabeth",Print,73
"Frink, Dame Elisabeth",Metal,9
"Frink, Dame Elisabeth",Plaster and Metal,9
"Frink, Dame Elisabeth",Etching,34
"Duncombe, Susanna",Etching,6
"Duncombe, Susanna",Graphite and Ink,34
"Duncombe, Susanna",Graphite,15
"Duncombe, Susanna",Graphite and Watercolor,18
"Duncombe, Susanna",Watercolor,1
"Duncombe, Susanna",Ink,2
"Arbus, Diane",Photograph,69
"Almeida, Helena",Ink,38
"Almeida, Helena",Photograph,1
"Horn, Rebecca",Mixed Medium,24
